Airline,Source,Destination,Route,Duration,Total_Stops,Additional_Info,Price,Journey_Day,Journey_Month,Dep_Hour,Dep_Minute,Arrival_Hour,Arrival_Minute
4,0,5,5,26h 30m,1.0,5,9134,9,3,5,45,8,15
6,2,1,104,7h 20m,1.0,5,10791,24,6,11,40,19,0
4,2,1,97,13h 30m,2.0,8,12819,24,6,23,5,12,35
3,2,1,103,5h,1.0,8,6893,21,3,5,5,10,5
10,0,5,18,2h 45m,0.0,8,7240,9,3,9,50,12,35
2,0,2,18,2h 50m,0.0,8,3898,3,4,11,40,14,30
3,4,3,48,1h 30m,0.0,8,4049,3,4,6,25,7,55
4,2,1,104,19h 5m,1.0,5,10262,15,6,17,30,12,35
8,1,4,127,2h 15m,0.0,7,3332,21,3,8,20,10,35
4,3,0,66,14h 50m,1.0,5,10844,9,6,21,10,12,0
4,0,5,18,2h 40m,0.0,8,7229,24,3,19,55,22,35
4,3,0,66,22h 10m,1.0,8,13941,6,5,6,30,4,40
3,2,1,104,9h 35m,1.0,8,5894,27,6,11,25,21,0
6,2,1,104,10h,1.0,8,10197,18,5,9,0,19,0
4,0,5,5,21h 20m,1.0,5,13712,6,3,14,5,11,25
3,2,1,121,5h 25m,1.0,8,5636,24,6,2,0,7,25
4,2,1,116,18h 45m,2.0,8,13014,6,6,9,40,4,25
4,3,0,66,12h 20m,1.0,5,7064,1,4,8,25,20,45
4,3,0,73,18h,1.0,5,10703,24,5,20,25,14,25
6,2,1,111,9h 15m,1.0,8,9646,27,5,13,15,22,30
6,2,1,104,11h 5m,1.0,8,17057,6,3,2,15,13,20
4,0,5,5,17h 30m,1.0,8,13817,12,3,16,55,10,25
1,2,1,102,13h 20m,2.0,8,13748,6,3,5,55,19,15
1,3,0,64,2h 35m,0.0,8,4880,21,4,20,45,23,20
3,1,4,127,2h 25m,0.0,8,3540,21,6,5,15,7,40
8,0,2,18,2h 40m,0.0,7,3257,15,5,5,55,8,35
4,0,2,18,3h,0.0,5,6478,3,6,19,50,22,50
4,4,3,48,1h 25m,0.0,8,8040,18,6,7,5,8,30
4,2,1,99,16h 35m,2.0,8,14300,12,6,20,0,12,35
4,3,0,66,12h 20m,1.0,8,14781,15,5,8,25,20,45
4,3,0,66,12h 15m,1.0,8,14939,9,6,20,0,8,15
4,2,1,104,7h 30m,1.0,5,10262,24,6,20,55,4,25
1,3,0,90,24h,1.0,8,6528,12,5,14,35,14,35
1,0,2,18,2h 45m,0.0,8,6121,1,5,6,10,8,55
4,2,1,116,8h 55m,2.0,5,13029,18,5,19,30,4,25
6,2,1,104,7h 10m,1.0,8,11421,27,3,11,40,18,50
6,2,1,104,14h 30m,1.0,8,7574,27,3,4,45,19,15
1,2,1,117,30h 20m,2.0,8,11596,9,5,12,55,19,15
4,2,1,97,19h 55m,2.0,8,15129,24,5,23,5,19,0
4,0,5,5,15h,1.0,8,13555,18,3,14,5,5,5
3,0,2,18,2h 55m,0.0,8,5780,12,4,18,55,21,50
10,3,0,73,12h 45m,1.0,8,9397,12,5,20,20,9,5
4,2,1,104,10h 10m,1.0,8,17024,6,3,18,15,4,25
2,2,1,104,5h 55m,1.0,8,5281,27,6,7,0,12,55
6,2,1,111,15h 25m,1.0,8,10348,18,5,7,5,22,30
1,2,1,121,16h 5m,1.0,8,12677,6,3,17,20,9,25
6,2,1,104,10h 10m,1.0,8,15147,3,3,15,25,1,35
10,0,2,18,2h 40m,0.0,8,4668,12,6,7,0,9,40
4,2,1,104,11h 55m,1.0,8,15554,9,5,7,5,19,0
8,0,2,18,2h 40m,0.0,8,3971,9,4,5,55,8,35
1,4,3,48,1h 25m,0.0,8,3100,3,5,15,0,16,25
4,3,0,66,14h 5m,1.0,5,9663,6,5,20,0,10,5
1,2,1,104,20h 15m,1.0,8,27430,1,3,23,0,19,15
3,1,4,127,2h 25m,0.0,8,3540,12,5,5,15,7,40
1,3,0,61,23h 10m,2.0,8,10676,21,5,12,0,11,10
4,3,0,66,18h 10m,1.0,8,13044,12,6,14,5,8,15
4,3,0,66,16h,1.0,8,14388,6,5,20,0,12,0
3,0,2,18,2h 50m,0.0,8,3943,24,6,4,0,6,50
3,1,4,127,2h 20m,0.0,8,3597,3,6,14,45,17,5
1,0,5,28,8h,1.0,8,5932,21,3,11,50,19,50
4,2,1,104,16h 55m,1.0,5,10262,15,6,11,30,4,25
10,2,1,106,3h 10m,0.0,8,6216,12,5,14,40,17,50
3,3,0,64,2h 45m,0.0,8,4804,15,6,20,25,23,10
6,2,1,104,14h,1.0,8,14067,21,5,11,30,1,30
4,2,1,97,23h 50m,2.0,8,15129,18,5,19,10,19,0
4,2,1,122,21h 40m,2.0,8,13376,6,6,6,45,4,25
1,2,1,108,21h 15m,2.0,8,10441,27,6,22,0,19,15
4,0,2,18,2h 45m,0.0,5,4030,24,5,6,0,8,45
4,2,1,104,10h 50m,1.0,8,17024,3,3,8,0,18,50
6,2,1,104,8h,1.0,8,13017,9,4,17,30,1,30
2,3,0,66,8h 15m,1.0,8,6686,6,6,23,30,7,45
3,2,1,121,5h 25m,1.0,8,5636,15,6,2,0,7,25
3,2,1,111,8h 35m,1.0,8,6442,9,6,7,35,16,10
6,2,1,111,11h 50m,1.0,8,9486,21,5,13,5,0,55
4,3,0,66,27h 35m,1.0,5,10844,21,5,20,0,23,35
4,2,1,99,8h 25m,2.0,5,15318,3,6,20,0,4,25
1,2,1,121,20h 55m,1.0,8,5117,3,4,12,30,9,25
3,2,1,103,4h 50m,1.0,8,6147,24,6,15,10,20,0
6,2,1,104,8h 10m,1.0,8,7005,9,6,12,50,21,0
8,3,0,64,2h 20m,0.0,8,3873,3,4,22,20,0,40
4,2,1,101,24h 25m,2.0,5,9270,21,3,18,25,18,50
2,0,2,18,2h 50m,0.0,8,3898,27,6,11,40,14,30
4,3,0,66,12h 20m,1.0,8,14781,12,5,8,25,20,45
4,3,0,66,12h 15m,1.0,5,8586,24,5,20,0,8,15
1,3,0,87,23h 35m,2.0,8,10697,9,5,8,20,7,55
4,2,1,99,16h 35m,2.0,8,14300,27,6,20,0,12,35
3,0,5,18,2h 50m,0.0,8,8855,3,3,18,55,21,45
4,3,0,66,25h 45m,1.0,5,10844,12,5,16,30,18,15
4,2,1,104,26h 10m,1.0,8,17024,6,3,2,15,4,25
4,3,0,73,28h 50m,1.0,5,9314,1,5,9,35,14,25
3,0,5,18,2h 45m,0.0,8,4777,24,3,0,40,3,25
1,3,0,60,25h 15m,1.0,8,7662,9,6,12,0,13,15
3,2,1,111,9h 20m,1.0,8,6442,9,5,6,50,16,10
8,2,1,123,4h 30m,1.0,8,5264,12,6,8,45,13,15
4,2,1,104,15h 25m,1.0,5,12898,27,5,13,0,4,25
1,4,3,48,1h 30m,0.0,8,6092,3,3,13,55,15,25
8,0,2,18,2h 40m,0.0,8,3311,21,5,5,55,8,35
4,2,1,104,9h 10m,1.0,5,6540,27,3,19,15,4,25
3,0,2,18,2h 45m,0.0,8,3419,27,5,1,30,4,15
4,2,1,104,22h 35m,1.0,5,5177,3,4,14,0,12,35
1,2,1,106,3h 5m,0.0,8,8246,18,4,18,5,21,10
4,3,0,73,11h 30m,1.0,8,14676,9,6,9,35,21,5
6,2,1,104,9h 30m,1.0,8,13587,27,6,11,30,21,0
4,3,0,66,12h 10m,1.0,5,9663,6,5,21,10,9,20
4,3,0,66,17h 35m,1.0,8,13044,12,6,16,30,10,5
3,2,1,104,5h 5m,1.0,8,5073,3,4,20,25,1,30
10,3,0,73,25h 50m,1.0,8,9345,21,5,17,0,18,50
4,3,0,66,20h,1.0,5,9663,6,5,14,5,10,5
6,2,1,104,13h,1.0,8,14277,21,5,8,0,21,0
4,2,1,104,18h 25m,1.0,5,10262,1,6,10,0,4,25
4,4,3,48,1h 30m,0.0,8,5678,27,3,19,35,21,5
6,2,1,104,9h 30m,1.0,8,13727,15,5,16,0,1,30
4,3,0,66,16h,1.0,5,9663,6,5,20,0,12,0
3,1,4,127,2h 20m,0.0,8,3858,12,5,14,45,17,5
8,2,1,123,4h 30m,1.0,8,4812,24,6,8,45,13,15
3,2,1,119,5h 45m,1.0,8,5775,27,6,21,50,3,35
4,3,0,73,24h 10m,1.0,5,10539,6,6,9,35,9,45
3,3,0,64,2h 35m,0.0,8,4804,3,6,15,30,18,5
0,0,2,18,2h 45m,0.0,8,3383,12,6,11,10,13,55
3,0,5,24,4h 55m,1.0,8,8738,3,3,12,10,17,5
1,2,1,125,25h 35m,1.0,8,7165,27,3,5,15,6,50
3,2,1,111,6h 20m,1.0,8,6412,24,6,16,10,22,30
4,0,2,18,3h 5m,0.0,8,8016,27,6,18,55,22,0
4,0,5,5,18h 40m,1.0,5,11087,12,3,20,35,15,15
8,1,4,127,2h 15m,0.0,7,3543,27,6,9,45,12,0
4,3,0,66,12h 10m,1.0,8,12471,12,6,16,30,4,40
4,2,1,104,19h 25m,1.0,5,10262,24,6,9,0,4,25
1,0,5,18,2h 50m,0.0,8,4441,18,3,13,20,16,10
6,2,1,104,8h 25m,1.0,8,12537,27,3,7,5,15,30
2,3,0,66,9h 15m,1.0,8,10091,24,3,22,25,7,40
1,0,2,18,2h 50m,0.0,8,6961,3,6,21,5,23,55
3,2,1,106,3h 15m,0.0,8,5013,24,4,5,35,8,50
1,2,1,106,2h 50m,0.0,8,6934,18,5,5,10,8,0
6,2,1,104,12h 20m,1.0,8,10877,3,6,6,40,19,0
4,0,2,18,2h 55m,0.0,8,7229,18,4,15,15,18,10
3,2,1,104,9h 35m,1.0,8,7048,27,3,16,0,1,35
10,0,2,18,2h 35m,0.0,8,4878,27,6,17,0,19,35
4,3,0,66,9h 30m,1.0,5,10844,21,5,14,5,23,35
4,2,1,97,29h 20m,2.0,8,15129,18,5,23,5,4,25
3,0,2,18,2h 55m,0.0,8,3943,12,5,0,30,3,25
8,2,1,121,5h 15m,1.0,8,5583,6,6,6,5,11,20
6,2,1,111,9h 5m,1.0,8,9646,6,6,7,5,16,10
6,2,1,104,10h 45m,1.0,8,7677,3,6,8,30,19,15
3,2,1,103,4h 55m,1.0,8,6842,1,6,5,10,10,5
4,4,3,48,1h 30m,0.0,5,4995,24,6,8,45,10,15
10,3,0,73,11h 40m,1.0,8,9555,9,6,7,10,18,50
3,0,2,18,2h 45m,0.0,8,4077,1,6,1,30,4,15
4,0,2,18,2h 55m,0.0,8,7229,12,5,15,15,18,10
6,2,1,104,10h,1.0,8,12192,9,6,9,0,19,0
1,0,2,18,2h 45m,0.0,8,5911,12,4,10,0,12,45
1,2,1,104,10h 15m,1.0,8,8372,12,6,9,0,19,15
4,4,3,48,1h 25m,0.0,5,4995,18,3,7,10,8,35
6,2,1,104,9h 15m,1.0,8,14323,9,5,10,0,19,15
4,2,1,116,22h 55m,2.0,8,13014,9,6,5,30,4,25
1,2,1,105,28h 50m,2.0,8,13591,6,6,14,25,19,15
4,2,1,113,37h 25m,2.0,8,18799,3,3,5,25,18,50
3,0,2,18,2h 50m,0.0,8,3943,27,4,23,30,2,20
8,4,3,48,1h 30m,0.0,7,1965,21,5,5,45,7,15
4,4,3,48,1h 30m,0.0,5,4995,27,5,10,20,11,50
1,3,0,66,25h 40m,1.0,8,14641,24,3,16,50,18,30
1,3,0,64,2h 35m,0.0,8,4460,12,4,20,45,23,20
1,2,1,104,6h 15m,1.0,8,10191,18,5,13,0,19,15
4,2,1,104,17h 30m,1.0,5,13843,9,3,2,15,19,45
3,2,1,119,5h 45m,1.0,8,6349,1,5,21,50,3,35
0,3,0,64,2h 35m,0.0,8,4409,1,5,10,20,12,55
4,2,1,104,25h 30m,1.0,8,17024,6,3,18,15,19,45
6,2,1,104,13h 55m,1.0,8,13727,18,5,7,5,21,0
3,0,5,18,2h 55m,0.0,8,8855,15,3,18,25,21,20
6,2,1,104,10h 15m,1.0,8,12524,24,6,8,45,19,0
4,0,5,5,8h 40m,1.0,8,13555,18,3,11,40,20,20
4,3,0,66,5h 30m,1.0,5,10844,6,6,6,30,12,0
6,2,1,104,12h,1.0,8,13587,9,6,9,0,21,0
8,1,4,127,2h 15m,0.0,7,3543,12,6,9,45,12,0
10,1,4,127,2h 15m,0.0,8,4842,18,3,7,5,9,20
3,0,2,18,2h 50m,0.0,8,3943,24,4,23,30,2,20
4,2,1,104,9h 10m,1.0,5,10577,9,6,19,15,4,25
3,2,1,104,10h 25m,1.0,8,6979,15,5,10,35,21,0
10,1,4,127,2h 20m,0.0,8,11982,27,6,17,45,20,5
8,2,1,123,4h 30m,1.0,8,5264,6,6,8,45,13,15
10,2,1,106,3h 10m,0.0,8,8001,3,3,6,0,9,10
1,2,1,97,23h 30m,2.0,8,10651,1,6,19,45,19,15
4,3,0,66,27h 20m,1.0,5,10844,24,5,16,30,19,50
6,2,1,111,12h 35m,1.0,8,6601,27,3,9,45,22,20
1,2,1,104,24h 15m,1.0,8,6587,21,3,19,0,19,15
8,4,3,48,1h 20m,0.0,8,3173,21,3,13,10,14,30
1,0,2,18,2h 45m,0.0,8,5228,9,5,10,0,12,45
4,0,2,18,3h,0.0,5,5769,21,6,7,10,10,10
4,2,1,104,11h,1.0,8,14714,6,6,8,0,19,0
4,2,1,116,13h 30m,2.0,8,13014,3,6,5,30,19,0
3,0,2,18,2h 50m,0.0,8,3359,3,6,22,10,1,0
2,0,5,18,2h 55m,0.0,8,6722,3,3,20,55,23,50
3,3,0,64,2h 45m,0.0,8,4462,18,3,9,35,12,20
3,2,1,111,11h 15m,1.0,8,6171,9,3,4,55,16,10
1,3,0,85,14h 35m,2.0,8,12303,21,5,5,50,20,25
6,2,1,104,13h 55m,1.0,8,7695,21,3,11,40,1,35
3,2,1,104,14h 5m,1.0,8,5684,24,6,11,25,1,30
1,3,0,66,15h 5m,1.0,8,8366,12,6,16,50,7,55
1,1,4,127,2h 15m,0.0,8,19630,1,3,11,40,13,55
4,0,5,5,15h,1.0,5,13502,6,3,14,5,5,5
4,3,0,66,12h 55m,1.0,8,14781,1,5,21,10,10,5
6,2,1,111,9h,1.0,8,6513,12,6,7,10,16,10
1,2,1,104,12h 15m,1.0,8,9929,1,6,7,0,19,15
6,2,1,115,7h 40m,2.0,8,18275,6,6,17,50,1,30
1,2,1,121,27h 20m,1.0,8,4487,9,4,6,5,9,25
3,4,3,48,1h 25m,0.0,8,2754,15,3,21,20,22,45
1,4,3,48,1h 20m,0.0,8,2575,27,3,6,20,7,40
8,3,0,82,5h 30m,1.0,8,8224,12,6,15,55,21,25
1,2,1,103,11h 45m,1.0,8,8991,9,3,20,30,8,15
3,2,1,106,3h 15m,0.0,8,5000,24,6,5,35,8,50
4,3,0,66,24h 55m,1.0,5,8529,12,6,18,55,19,50
1,2,1,121,27h 20m,1.0,8,14042,3,3,6,5,9,25
4,0,2,18,2h 55m,0.0,5,4030,24,5,11,10,14,5
4,3,0,66,17h 5m,1.0,5,10844,6,6,18,55,12,0
3,3,0,64,2h 40m,0.0,8,4804,6,5,21,25,0,5
6,2,1,104,8h,1.0,5,7308,27,5,17,30,1,30
3,0,2,18,3h,0.0,8,4823,12,5,16,55,19,55
4,2,1,104,27h 35m,1.0,5,10262,24,6,9,0,12,35
4,2,1,104,7h 30m,1.0,5,12898,27,5,20,55,4,25
1,0,5,9,22h 55m,2.0,8,12778,12,3,17,25,16,20
3,2,1,104,8h 35m,1.0,8,14871,3,3,4,45,13,20
1,2,1,126,29h 55m,2.0,8,8708,21,3,13,20,19,15
4,3,0,66,22h 15m,1.0,5,10844,6,6,20,0,18,15
8,4,3,48,1h 20m,0.0,8,4129,6,3,5,45,7,5
3,3,0,64,2h 40m,0.0,8,4804,18,5,21,25,0,5
4,0,2,18,3h,0.0,8,7229,6,5,8,20,11,20
4,0,5,5,12h 10m,1.0,5,7832,21,3,7,0,19,10
8,1,4,127,2h 35m,0.0,8,3859,18,3,9,30,12,5
6,2,1,104,11h 45m,1.0,8,9001,6,6,7,30,19,15
10,0,2,18,2h 35m,0.0,8,4878,9,5,17,0,19,35
3,4,3,48,1h 30m,0.0,8,2754,3,5,2,35,4,5
10,0,2,18,2h 40m,0.0,8,4668,27,6,7,0,9,40
0,3,0,64,2h 35m,0.0,8,5216,12,5,10,20,12,55
4,2,1,116,22h 55m,2.0,5,10368,6,6,5,30,4,25
3,2,1,112,14h 40m,2.0,8,8146,9,3,6,40,21,20
4,2,1,104,15h 25m,1.0,8,12242,27,3,13,0,4,25
4,0,5,5,7h 15m,1.0,5,9134,15,3,8,0,15,15
1,2,1,112,20h 10m,2.0,8,10939,6,6,13,15,9,25
1,2,1,108,20h 45m,2.0,8,11753,6,6,10,55,7,40
8,3,0,64,2h 30m,0.0,8,4174,24,4,17,10,19,40
4,3,0,66,23h 50m,1.0,5,10844,21,5,20,0,19,50
4,2,1,104,27h,1.0,8,14714,3,6,16,0,19,0
4,3,0,66,5h 30m,1.0,5,9899,12,6,6,30,12,0
3,2,1,104,11h 50m,1.0,8,14871,3,3,9,10,21,0
3,1,4,127,2h 15m,0.0,8,7295,6,3,13,20,15,35
1,2,1,116,24h 30m,2.0,8,13465,6,6,18,45,19,15
8,1,4,127,2h 20m,0.0,7,3543,21,5,17,45,20,5
6,2,1,104,6h 30m,1.0,8,7198,27,6,19,0,1,30
4,2,1,104,20h 25m,1.0,5,10262,1,6,8,0,4,25
3,3,0,64,2h 35m,0.0,8,4148,15,3,15,20,17,55
4,0,2,18,2h 55m,0.0,8,8016,27,6,15,15,18,10
4,2,1,104,5h 35m,1.0,5,10262,9,6,22,50,4,25
8,3,0,64,2h 30m,0.0,7,3841,15,6,14,55,17,25
4,0,5,28,14h 45m,1.0,8,11507,12,3,9,45,0,30
4,3,0,66,12h 20m,1.0,8,14781,1,5,8,25,20,45
4,2,1,104,25h 30m,1.0,8,16079,27,5,17,30,19,0
4,2,1,104,5h 35m,1.0,5,12898,27,5,22,50,4,25
6,2,1,104,11h 45m,1.0,8,15353,6,3,7,30,19,15
3,0,5,18,2h 55m,0.0,8,7303,24,3,18,25,21,20
8,3,0,90,5h 40m,1.0,8,6197,24,3,15,5,20,45
1,3,0,60,4h 5m,1.0,8,8996,9,6,9,10,13,15
3,2,1,111,8h,1.0,8,6528,21,3,14,20,22,20
2,0,2,18,2h 45m,0.0,8,4239,9,4,20,55,23,40
3,3,0,64,2h 40m,0.0,8,4148,12,3,20,25,23,5
8,0,2,18,2h 55m,0.0,8,3971,24,5,21,10,0,5
0,3,0,73,15h 55m,1.0,8,5192,6,5,7,35,23,30
4,2,1,97,23h 10m,2.0,8,9483,9,4,13,25,12,35
4,2,1,117,7h 20m,2.0,8,18804,3,6,11,40,19,0
1,2,1,106,2h 50m,0.0,8,5201,18,6,5,10,8,0
4,2,1,104,7h 30m,1.0,8,16079,27,5,11,30,19,0
4,0,2,18,3h,0.0,5,7229,15,6,19,50,22,50
6,2,1,104,7h 45m,1.0,8,6795,27,5,17,45,1,30
4,3,0,73,25h 20m,1.0,8,10953,9,5,9,35,10,55
6,2,1,113,10h 25m,2.0,8,15965,24,6,15,5,1,30
1,2,1,117,30h 20m,2.0,8,9968,9,4,12,55,19,15
3,3,0,64,2h 35m,0.0,8,4804,6,6,22,15,0,50
4,2,1,104,9h,1.0,8,16079,27,5,10,0,19,0
4,2,1,113,15h 10m,2.0,5,11507,12,6,21,25,12,35
1,3,0,67,28h 20m,2.0,8,11542,9,6,9,25,13,45
4,0,2,18,3h,0.0,8,7229,24,4,17,45,20,45
4,0,2,18,2h 45m,0.0,5,4544,27,4,6,0,8,45
3,2,1,103,4h 55m,1.0,8,6496,15,5,5,10,10,5
3,3,0,64,2h 40m,0.0,8,4804,15,6,21,25,0,5
1,0,5,15,22h 10m,1.0,8,13439,1,3,11,5,9,15
4,2,1,104,10h 10m,1.0,5,6540,27,3,18,15,4,25
3,0,2,18,2h 50m,0.0,8,4591,1,6,23,30,2,20
3,0,5,24,4h 20m,1.0,8,4437,18,3,16,15,20,35
0,2,1,103,11h,1.0,8,6151,21,3,20,10,7,10
4,0,2,18,3h,0.0,5,7754,21,6,17,45,20,45
4,2,1,104,22h 35m,1.0,5,10262,24,6,14,0,12,35
4,0,2,18,3h 5m,0.0,8,8016,9,6,18,55,22,0
8,3,0,64,2h 40m,0.0,7,4781,24,3,6,55,9,35
10,0,2,18,2h 50m,0.0,8,4668,27,6,11,30,14,20
1,0,5,28,21h 5m,1.0,8,14594,6,3,11,50,8,55
4,3,0,66,11h 50m,1.0,8,14231,24,3,16,55,4,45
1,2,1,125,25h 35m,1.0,8,8425,15,5,5,15,6,50
6,2,1,111,15h 25m,1.0,8,9646,12,6,7,5,22,30
3,1,4,127,2h 25m,0.0,8,7295,3,3,14,40,17,5
0,3,0,60,3h 40m,1.0,8,5162,9,4,6,50,10,30
3,0,5,18,2h 55m,0.0,8,6860,9,3,18,25,21,20
10,2,1,106,3h 10m,0.0,8,6216,15,4,6,0,9,10
0,3,0,73,11h 50m,1.0,8,5192,24,5,7,35,19,25
3,0,2,18,2h 50m,0.0,8,4823,9,4,20,0,22,50
8,0,2,18,2h 50m,0.0,7,3919,3,4,9,30,12,20
3,4,3,48,1h 30m,0.0,8,2754,3,6,19,5,20,35
6,2,1,104,11h 30m,1.0,8,9315,9,5,7,30,19,0
6,2,1,104,8h 50m,1.0,8,11667,27,3,10,0,18,50
4,3,0,66,20h 15m,1.0,5,6224,12,6,8,25,4,40
1,3,0,68,20h 10m,2.0,8,13349,24,3,9,25,5,35
4,0,5,5,16h 5m,1.0,5,11087,18,3,16,55,9,0
6,2,1,104,12h 35m,1.0,8,15603,6,3,13,0,1,35
4,2,1,116,17h 5m,2.0,8,15129,9,5,19,30,12,35
3,0,2,18,3h,0.0,8,4823,9,4,16,55,19,55
10,3,0,73,15h 30m,1.0,8,8452,1,5,7,10,22,40
6,2,1,104,11h 30m,1.0,8,12524,6,6,7,30,19,0
8,1,4,127,2h 20m,0.0,8,3384,27,3,17,45,20,5
4,2,1,104,23h 45m,1.0,5,10262,1,6,19,15,19,0
8,4,3,48,1h 30m,0.0,7,1965,18,6,13,15,14,45
3,3,0,64,2h 35m,0.0,8,4804,18,5,22,15,0,50
4,2,1,104,24h 45m,1.0,8,16079,27,5,18,15,19,0
4,2,1,113,21h 35m,2.0,8,13292,1,6,21,25,19,0
0,2,1,103,5h 30m,1.0,8,6751,9,5,7,55,13,25
1,2,1,104,12h 15m,1.0,8,8669,15,5,7,0,19,15
3,2,1,104,8h 5m,1.0,8,14871,3,3,17,30,1,35
4,2,1,104,5h,1.0,5,12898,21,5,14,0,19,0
8,0,2,18,2h 50m,0.0,7,3919,6,6,9,30,12,20
6,2,1,104,6h 25m,1.0,8,36983,1,3,12,50,19,15
3,1,4,127,2h 20m,0.0,8,3597,3,6,19,35,21,55
